experiment,model_label,method,condition,check,qid,pid_i,pid_j,k,actual_k,trial,g,g_perturbed,delta_g,abs_g_gap,preference_flipped,sign_preserved
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,5,15.007686138153076,-0.06638145446777344,15.07406759262085,15.07406759262085,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,6,15.007686138153076,-0.4163656234741211,15.424051761627197,15.424051761627197,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,7,15.007686138153076,0.0873260498046875,14.920360088348389,14.920360088348389,0,1
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,8,15.007686138153076,-1.2497406005859375,16.257426738739014,16.257426738739014,1,0
cross_encoder,Cross-encoder,pairwise_ig,random,preservation,1001108,7870036,302808,20,20,9,15.007686138153076,-0.0744924545288086,15.082178592681885,15.082178592681885,1,0
cross_encoder,Cross-encoder,pointwise_ig,explanation,deletion,1001108,7870036,302808,1,1,0,15.007686138153076,15.24158000946045,-0.23389387130737305,0.23389387130737305,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,0,15.007686138153076,15.106652736663818,-0.09896659851074219,0.09896659851074219,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,1,15.007686138153076,14.862456321716309,0.14522981643676758,0.14522981643676758,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,2,15.007686138153076,14.794396877288818,0.2132892608642578,0.2132892608642578,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,3,15.007686138153076,14.925851345062256,0.08183479309082031,0.08183479309082031,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,4,15.007686138153076,15.055339336395264,-0.0476531982421875,0.0476531982421875,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,5,15.007686138153076,14.280985355377197,0.7267007827758789,0.7267007827758789,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,6,15.007686138153076,15.159472942352295,-0.15178680419921875,0.15178680419921875,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,7,15.007686138153076,15.192954540252686,-0.18526840209960938,0.18526840209960938,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,8,15.007686138153076,15.101948261260986,-0.09426212310791016,0.09426212310791016,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,1,1,9,15.007686138153076,14.980265140533447,0.027420997619628906,0.027420997619628906,0,1
cross_encoder,Cross-encoder,pointwise_ig,explanation,preservation,1001108,7870036,302808,1,1,0,15.007686138153076,-0.42955970764160156,15.437245845794678,15.437245845794678,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,0,15.007686138153076,0.0026111602783203125,15.005074977874756,15.005074977874756,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,1,15.007686138153076,-0.42955970764160156,15.437245845794678,15.437245845794678,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,2,15.007686138153076,0.19392967224121094,14.813756465911865,14.813756465911865,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,3,15.007686138153076,0.13432025909423828,14.873365879058838,14.873365879058838,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,4,15.007686138153076,0.0034809112548828125,15.004205226898193,15.004205226898193,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,5,15.007686138153076,0.0065364837646484375,15.001149654388428,15.001149654388428,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,6,15.007686138153076,0.017101287841796875,14.99058485031128,14.99058485031128,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,7,15.007686138153076,0.00550079345703125,15.002185344696045,15.002185344696045,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,8,15.007686138153076,-0.00045013427734375,15.00813627243042,15.00813627243042,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,1,1,9,15.007686138153076,-0.0007686614990234375,15.0084547996521,15.0084547996521,1,0
cross_encoder,Cross-encoder,pointwise_ig,explanation,deletion,1001108,7870036,302808,3,3,0,15.007686138153076,14.97679615020752,0.03088998794555664,0.03088998794555664,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,0,15.007686138153076,14.573789596557617,0.433896541595459,0.433896541595459,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,1,15.007686138153076,15.011229515075684,-0.003543376922607422,0.003543376922607422,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,2,15.007686138153076,15.080366611480713,-0.07268047332763672,0.07268047332763672,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,3,15.007686138153076,14.791388988494873,0.21629714965820312,0.21629714965820312,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,4,15.007686138153076,14.627432346343994,0.38025379180908203,0.38025379180908203,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,5,15.007686138153076,14.587577819824219,0.4201083183288574,0.4201083183288574,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,6,15.007686138153076,14.458065509796143,0.5496206283569336,0.5496206283569336,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,7,15.007686138153076,14.913164615631104,0.09452152252197266,0.09452152252197266,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,8,15.007686138153076,14.550082206726074,0.45760393142700195,0.45760393142700195,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,3,3,9,15.007686138153076,14.712159633636475,0.29552650451660156,0.29552650451660156,0,1
cross_encoder,Cross-encoder,pointwise_ig,explanation,preservation,1001108,7870036,302808,3,3,0,15.007686138153076,-0.3760337829589844,15.38371992111206,15.38371992111206,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,0,15.007686138153076,-0.19126415252685547,15.198950290679932,15.198950290679932,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,1,15.007686138153076,0.034522056579589844,14.973164081573486,14.973164081573486,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,2,15.007686138153076,0.06348037719726562,14.94420576095581,14.94420576095581,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,3,15.007686138153076,0.03474617004394531,14.97293996810913,14.97293996810913,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,4,15.007686138153076,-0.007778167724609375,15.015464305877686,15.015464305877686,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,5,15.007686138153076,0.007887840270996094,14.99979829788208,14.99979829788208,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,6,15.007686138153076,-0.1802816390991211,15.187967777252197,15.187967777252197,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,7,15.007686138153076,0.005496025085449219,15.002190113067627,15.002190113067627,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,8,15.007686138153076,-0.009754180908203125,15.01744031906128,15.01744031906128,1,0
cross_encoder,Cross-encoder,pointwise_ig,random,preservation,1001108,7870036,302808,3,3,9,15.007686138153076,0.09686088562011719,14.910825252532959,14.910825252532959,0,1
cross_encoder,Cross-encoder,pointwise_ig,explanation,deletion,1001108,7870036,302808,5,5,0,15.007686138153076,15.469834804534912,-0.46214866638183594,0.46214866638183594,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,0,15.007686138153076,15.024133682250977,-0.01644754409790039,0.01644754409790039,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,1,15.007686138153076,14.862273693084717,0.14541244506835938,0.14541244506835938,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,2,15.007686138153076,14.77647590637207,0.23121023178100586,0.23121023178100586,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,3,15.007686138153076,15.291086196899414,-0.2834000587463379,0.2834000587463379,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,4,15.007686138153076,15.402584552764893,-0.3948984146118164,0.3948984146118164,0,1
cross_encoder,Cross-encoder,pointwise_ig,random,deletion,1001108,7870036,302808,5,5,5,15.007686138153076,14.863321304321289,0.1443648338317871,0.1443648338317871,0,1
