experiment,model_label,method,condition,check,qid,pid_i,pid_j,k,actual_k,trial,g,g_perturbed,delta_g,abs_g_gap,preference_flipped,sign_preserved
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,5,5,6,12.314411163330078,-10.491703033447266,22.806114196777344,22.806114196777344,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,5,5,7,12.314411163330078,-9.118477821350098,21.432888984680176,21.432888984680176,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,5,5,8,12.314411163330078,-8.973514556884766,21.287925720214844,21.287925720214844,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,5,5,9,12.314411163330078,-9.179971694946289,21.494382858276367,21.494382858276367,1,0
duot5,DuoT5,pairwise_ig,explanation,deletion,1092930,7792755,4654454,10,10,0,12.314411163330078,10.230298042297363,2.084113121032715,2.084113121032715,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,0,12.314411163330078,12.25847053527832,0.05594062805175781,0.05594062805175781,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,1,12.314411163330078,12.249809265136719,0.06460189819335938,0.06460189819335938,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,2,12.314411163330078,12.436023712158203,-0.121612548828125,0.121612548828125,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,3,12.314411163330078,12.126080513000488,0.18833065032958984,0.18833065032958984,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,4,12.314411163330078,12.175725936889648,0.1386852264404297,0.1386852264404297,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,5,12.314411163330078,12.04776668548584,0.2666444778442383,0.2666444778442383,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,6,12.314411163330078,11.651151657104492,0.6632595062255859,0.6632595062255859,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,7,12.314411163330078,12.29990005493164,0.0145111083984375,0.0145111083984375,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,8,12.314411163330078,12.44224739074707,-0.1278362274169922,0.1278362274169922,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,10,10,9,12.314411163330078,12.563693046569824,-0.2492818832397461,0.2492818832397461,0,1
duot5,DuoT5,pairwise_ig,explanation,preservation,1092930,7792755,4654454,10,10,0,12.314411163330078,5.395012855529785,6.919398307800293,6.919398307800293,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,0,12.314411163330078,4.188702583312988,8.12570858001709,8.12570858001709,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,1,12.314411163330078,-8.111307144165039,20.425718307495117,20.425718307495117,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,2,12.314411163330078,0.2353534698486328,12.079057693481445,12.079057693481445,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,3,12.314411163330078,-9.09414005279541,21.40855121612549,21.40855121612549,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,4,12.314411163330078,-9.308366775512695,21.622777938842773,21.622777938842773,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,5,12.314411163330078,-10.056715965270996,22.371127128601074,22.371127128601074,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,6,12.314411163330078,3.3716650009155273,8.94274616241455,8.94274616241455,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,7,12.314411163330078,-9.248331069946289,21.562742233276367,21.562742233276367,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,8,12.314411163330078,0.9269437789916992,11.387467384338379,11.387467384338379,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,10,10,9,12.314411163330078,-10.962726593017578,23.277137756347656,23.277137756347656,1,0
duot5,DuoT5,pairwise_ig,explanation,deletion,1092930,7792755,4654454,20,20,0,12.314411163330078,9.653522491455078,2.660888671875,2.660888671875,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,0,12.314411163330078,11.828682899475098,0.48572826385498047,0.48572826385498047,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,1,12.314411163330078,10.060857772827148,2.2535533905029297,2.2535533905029297,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,2,12.314411163330078,12.406919479370117,-0.09250831604003906,0.09250831604003906,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,3,12.314411163330078,12.01480484008789,0.2996063232421875,0.2996063232421875,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,4,12.314411163330078,11.113935470581055,1.2004756927490234,1.2004756927490234,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,5,12.314411163330078,11.888572692871094,0.4258384704589844,0.4258384704589844,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,6,12.314411163330078,11.661251068115234,0.6531600952148438,0.6531600952148438,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,7,12.314411163330078,11.93370246887207,0.3807086944580078,0.3807086944580078,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,8,12.314411163330078,11.519919395446777,0.7944917678833008,0.7944917678833008,0,1
duot5,DuoT5,pairwise_ig,random,deletion,1092930,7792755,4654454,20,20,9,12.314411163330078,11.742822647094727,0.5715885162353516,0.5715885162353516,0,1
duot5,DuoT5,pairwise_ig,explanation,preservation,1092930,7792755,4654454,20,20,0,12.314411163330078,11.09814739227295,1.216263771057129,1.216263771057129,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,0,12.314411163330078,-9.972237586975098,22.286648750305176,22.286648750305176,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,1,12.314411163330078,-5.90656852722168,18.220979690551758,18.220979690551758,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,2,12.314411163330078,-9.842686653137207,22.157097816467285,22.157097816467285,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,3,12.314411163330078,-7.079778671264648,19.394189834594727,19.394189834594727,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,4,12.314411163330078,4.060382843017578,8.2540283203125,8.2540283203125,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,5,12.314411163330078,-10.820847511291504,23.135258674621582,23.135258674621582,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,6,12.314411163330078,2.4649863243103027,9.849424839019775,9.849424839019775,0,1
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,7,12.314411163330078,-9.882436752319336,22.196847915649414,22.196847915649414,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,8,12.314411163330078,-1.7755126953125,14.089923858642578,14.089923858642578,1,0
duot5,DuoT5,pairwise_ig,random,preservation,1092930,7792755,4654454,20,20,9,12.314411163330078,2.141571044921875,10.172840118408203,10.172840118408203,0,1
duot5,DuoT5,pointwise_ig,explanation,deletion,1092930,7792755,4654454,1,1,0,2.5219192504882812,2.244156837463379,0.27776241302490234,0.27776241302490234,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,0,2.5219192504882812,2.5109682083129883,0.010951042175292969,0.010951042175292969,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,1,2.5219192504882812,2.49117374420166,0.030745506286621094,0.030745506286621094,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,2,2.5219192504882812,2.6118955612182617,-0.08997631072998047,0.08997631072998047,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,3,2.5219192504882812,2.5354928970336914,-0.013573646545410156,0.013573646545410156,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,4,2.5219192504882812,2.5150365829467773,0.006882667541503906,0.006882667541503906,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,5,2.5219192504882812,2.560399055480957,-0.03847980499267578,0.03847980499267578,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,6,2.5219192504882812,2.504129409790039,0.017789840698242188,0.017789840698242188,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,7,2.5219192504882812,2.084322929382324,0.43759632110595703,0.43759632110595703,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,8,2.5219192504882812,2.523252487182617,-0.0013332366943359375,0.0013332366943359375,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,1,1,9,2.5219192504882812,2.4501638412475586,0.07175540924072266,0.07175540924072266,0,1
duot5,DuoT5,pointwise_ig,explanation,preservation,1092930,7792755,4654454,1,1,0,2.5219192504882812,-0.00255584716796875,2.52447509765625,2.52447509765625,1,0
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,0,2.5219192504882812,-0.23534393310546875,2.75726318359375,2.75726318359375,1,0
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,1,2.5219192504882812,0.0174560546875,2.5044631958007812,2.5044631958007812,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,2,2.5219192504882812,0.13243484497070312,2.389484405517578,2.389484405517578,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,3,2.5219192504882812,0.11752510070800781,2.4043941497802734,2.4043941497802734,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,4,2.5219192504882812,0.07546234130859375,2.4464569091796875,2.4464569091796875,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,5,2.5219192504882812,0.10638046264648438,2.415538787841797,2.415538787841797,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,6,2.5219192504882812,0.01141357421875,2.5105056762695312,2.5105056762695312,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,7,2.5219192504882812,0.014739990234375,2.5071792602539062,2.5071792602539062,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,8,2.5219192504882812,0.03464508056640625,2.487274169921875,2.487274169921875,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,1,1,9,2.5219192504882812,0.08777618408203125,2.43414306640625,2.43414306640625,0,1
duot5,DuoT5,pointwise_ig,explanation,deletion,1092930,7792755,4654454,3,3,0,2.5219192504882812,1.8203725814819336,0.7015466690063477,0.7015466690063477,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,0,2.5219192504882812,2.336123466491699,0.18579578399658203,0.18579578399658203,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,1,2.5219192504882812,2.462881088256836,0.05903816223144531,0.05903816223144531,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,2,2.5219192504882812,2.0514793395996094,0.4704399108886719,0.4704399108886719,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,3,2.5219192504882812,2.588062286376953,-0.06614303588867188,0.06614303588867188,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,4,2.5219192504882812,3.7157039642333984,-1.1937847137451172,1.1937847137451172,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,5,2.5219192504882812,2.5242433547973633,-0.0023241043090820312,0.0023241043090820312,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,6,2.5219192504882812,2.4304676055908203,0.09145164489746094,0.09145164489746094,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,7,2.5219192504882812,2.4670257568359375,0.05489349365234375,0.05489349365234375,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,8,2.5219192504882812,2.602764129638672,-0.08084487915039062,0.08084487915039062,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,3,3,9,2.5219192504882812,2.560683250427246,-0.038763999938964844,0.038763999938964844,0,1
duot5,DuoT5,pointwise_ig,explanation,preservation,1092930,7792755,4654454,3,3,0,2.5219192504882812,0.10760879516601562,2.4143104553222656,2.4143104553222656,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,0,2.5219192504882812,0.307464599609375,2.2144546508789062,2.2144546508789062,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,1,2.5219192504882812,0.15425872802734375,2.3676605224609375,2.3676605224609375,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,2,2.5219192504882812,0.23406600952148438,2.287853240966797,2.287853240966797,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,3,2.5219192504882812,0.17720985412597656,2.3447093963623047,2.3447093963623047,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,4,2.5219192504882812,-0.7407817840576172,3.2627010345458984,3.2627010345458984,1,0
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,5,2.5219192504882812,0.14951705932617188,2.3724021911621094,2.3724021911621094,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,6,2.5219192504882812,0.1895294189453125,2.3323898315429688,2.3323898315429688,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,7,2.5219192504882812,0.5172786712646484,2.004640579223633,2.004640579223633,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,8,2.5219192504882812,0.19048309326171875,2.3314361572265625,2.3314361572265625,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,3,3,9,2.5219192504882812,0.06532669067382812,2.456592559814453,2.456592559814453,0,1
duot5,DuoT5,pointwise_ig,explanation,deletion,1092930,7792755,4654454,5,5,0,2.5219192504882812,1.9355735778808594,0.5863456726074219,0.5863456726074219,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,0,2.5219192504882812,2.39434814453125,0.12757110595703125,0.12757110595703125,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,1,2.5219192504882812,2.448716163635254,0.07320308685302734,0.07320308685302734,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,2,2.5219192504882812,2.2904844284057617,0.23143482208251953,0.23143482208251953,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,3,2.5219192504882812,2.438723564147949,0.08319568634033203,0.08319568634033203,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,4,2.5219192504882812,1.990264892578125,0.5316543579101562,0.5316543579101562,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,5,2.5219192504882812,2.597989082336426,-0.07606983184814453,0.07606983184814453,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,6,2.5219192504882812,1.6943788528442383,0.827540397644043,0.827540397644043,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,7,2.5219192504882812,2.493279457092285,0.028639793395996094,0.028639793395996094,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,8,2.5219192504882812,2.190762519836426,0.33115673065185547,0.33115673065185547,0,1
duot5,DuoT5,pointwise_ig,random,deletion,1092930,7792755,4654454,5,5,9,2.5219192504882812,2.3980159759521484,0.12390327453613281,0.12390327453613281,0,1
duot5,DuoT5,pointwise_ig,explanation,preservation,1092930,7792755,4654454,5,5,0,2.5219192504882812,0.2003021240234375,2.3216171264648438,2.3216171264648438,0,1
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,5,5,0,2.5219192504882812,-1.2404403686523438,3.762359619140625,3.762359619140625,1,0
duot5,DuoT5,pointwise_ig,random,preservation,1092930,7792755,4654454,5,5,1,2.5219192504882812,0.22138595581054688,2.3005332946777344,2.3005332946777344,0,1
