experiment,model_label,method,condition,check,k,n_queries,mean_actual_k,mean_delta_g,delta_g_ci_low,delta_g_ci_high,mean_abs_g_gap,abs_g_gap_ci_low,abs_g_gap_ci_high,flip_rate,flip_rate_ci_low,flip_rate_ci_high,sign_preservation_rate,sign_preservation_ci_low,sign_preservation_ci_high
duot5,DuoT5,loo_pointwise,random,deletion,20,150,20.0,2.99120507423083,2.5752133107165496,3.3942855996886894,3.2707418803373973,2.896770182561874,3.6792598090747983,0.24666666666666667,0.19731666666666667,0.30066666666666664,0.7533333333333333,0.6986499999999999,0.8026833333333334
duot5,DuoT5,pairwise_ig,explanation,deletion,1,150,1.0,0.6318478405475616,0.39435452670355636,0.9276760423431792,0.7966037992636362,0.5841474202175935,1.1001268170128267,0.03333333333333333,0.006666666666666667,0.06666666666666667,0.9666666666666667,0.9333333333333333,0.9933333333333333
duot5,DuoT5,pairwise_ig,explanation,deletion,3,150,3.0,1.6547939085960388,1.1561590624898672,2.2290430152664578,1.9336063385009765,1.457533156717817,2.4470801438788574,0.08666666666666667,0.04666666666666667,0.13333333333333333,0.9133333333333333,0.8666666666666667,0.96
duot5,DuoT5,pairwise_ig,explanation,deletion,5,150,5.0,3.0465807243188223,2.165136253381769,3.8818370245794456,3.2751017272472382,2.4637522099415463,4.13477830915153,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.8533333333333334,0.7933333333333333,0.9066666666666666
duot5,DuoT5,pairwise_ig,explanation,deletion,10,150,10.0,4.666346244017283,3.591677306001385,5.859930510540803,4.867425104777018,3.898636512885491,5.882057308380802,0.20666666666666667,0.14,0.2733333333333333,0.7933333333333333,0.7266666666666667,0.8534999999999999
duot5,DuoT5,pairwise_ig,explanation,deletion,20,150,20.0,6.09599707365036,5.044555304969351,7.209103365371624,6.275724460283915,5.027302053719759,7.4607787655790645,0.26666666666666666,0.19333333333333333,0.34,0.7333333333333333,0.66,0.8001666666666666
duot5,DuoT5,pairwise_ig,random,deletion,1,150,1.0,0.043243540604909265,0.020261734316746393,0.06754800456662972,0.12291203963756563,0.10031486069162689,0.15039564580818016,0.004,0.0,0.011333333333333334,0.996,0.9886666666666667,1.0
duot5,DuoT5,pairwise_ig,random,deletion,3,150,3.0,0.12723576589425406,0.08624968465119599,0.17424812926848726,0.2642119022210439,0.21737009531110524,0.3201405529931187,0.008666666666666666,0.0013333333333333335,0.018000000000000002,0.9913333333333333,0.9820000000000001,0.9986666666666667
duot5,DuoT5,pairwise_ig,random,deletion,5,150,5.0,0.1655683381954829,0.1167985620309909,0.21993166884879273,0.3499603748321533,0.29484439903795717,0.4117896610369285,0.011333333333333332,0.004,0.022000000000000002,0.9886666666666666,0.9786666666666668,0.996
duot5,DuoT5,pairwise_ig,random,deletion,10,150,10.0,0.47762413779894514,0.35367526673053706,0.5972878818874557,0.7530139198899269,0.6313955081296463,0.8848889069949589,0.02666666666666667,0.012000000000000002,0.04466666666666667,0.9733333333333334,0.9553166666666667,0.9886833333333334
duot5,DuoT5,pairwise_ig,random,deletion,20,150,20.0,1.054925589422385,0.8190973378884296,1.3080535197407006,1.337603536248207,1.1146774921543896,1.5863777860723431,0.05266666666666667,0.030666666666666665,0.07866666666666668,0.9473333333333332,0.9199666666666667,0.9693333333333332
duot5,DuoT5,pointwise_ig,explanation,deletion,1,150,1.0,-0.1129179334640503,-0.5404001344045003,0.24054057498772935,1.0295940001805624,0.7206720484097799,1.3666605197588602,0.04666666666666667,0.02,0.08,0.9533333333333334,0.92,0.9866666666666667
duot5,DuoT5,pointwise_ig,explanation,deletion,3,150,3.0,0.1845165014266968,-0.33139683115482327,0.6443338400522867,1.5852144130071004,1.1897185118198395,1.9991492650906246,0.08,0.04,0.12666666666666668,0.92,0.8733333333333333,0.96
duot5,DuoT5,pointwise_ig,explanation,deletion,5,150,5.0,0.094973464012146,-0.5156435855627061,0.6484103533824285,2.0089222892125447,1.5902245196898777,2.4475047234694163,0.13333333333333333,0.08,0.18666666666666668,0.8666666666666667,0.8066666666666666,0.92
duot5,DuoT5,pointwise_ig,explanation,deletion,10,150,10.0,0.22217759668827056,-0.5492513214498759,0.9521936047077179,2.81412839670976,2.2810915049016476,3.424930669357379,0.14,0.08666666666666667,0.2,0.86,0.8,0.9133333333333333
duot5,DuoT5,pointwise_ig,explanation,deletion,20,150,20.0,-0.3898613278071086,-1.2273115753332775,0.44105647337436654,3.268795603116353,2.6724849870602294,3.8589952713648477,0.18666666666666668,0.12666666666666668,0.24683333333333318,0.8133333333333334,0.7466666666666667,0.8733333333333333
duot5,DuoT5,pointwise_ig,random,deletion,1,150,1.0,0.02736308034261068,0.00313177310625712,0.05518612263202666,0.17421437644958496,0.13915073899428052,0.21701029929320018,0.008666666666666666,0.0020000000000000005,0.016666666666666666,0.9913333333333333,0.9826666666666667,0.9973333333333333
duot5,DuoT5,pointwise_ig,random,deletion,3,150,3.0,0.05889529315630594,-0.013771123959620794,0.130582761412859,0.43866454720497133,0.35941262345314023,0.5236954048713048,0.02,0.011333333333333332,0.030016666666666657,0.98,0.9686666666666668,0.9893333333333332
duot5,DuoT5,pointwise_ig,random,deletion,5,150,5.0,0.15414507365226748,0.03792145510117212,0.27483670568863544,0.6161509622732798,0.51402633416454,0.7356047813077767,0.03,0.018000000000000002,0.043333333333333335,0.97,0.9566666666666667,0.9820000000000001
duot5,DuoT5,pointwise_ig,random,deletion,10,150,10.0,0.09341088296969728,-0.11064025543630124,0.27177556090354915,1.0933297015627226,0.8981868893325329,1.3176925443927445,0.05866666666666667,0.03933333333333334,0.08001666666666665,0.9413333333333332,0.9186500000000001,0.9613333333333335
duot5,DuoT5,pointwise_ig,random,deletion,20,150,20.0,0.18373247238000237,-0.14145690755049395,0.43599151140948145,1.7066613472302754,1.460850265261531,1.987829745022456,0.112,0.07733333333333334,0.14666666666666667,0.8879999999999999,0.8533333333333334,0.9206666666666666
duot5,DuoT5,loo_pairwise,explanation,preservation,1,150,1.0,15.044924575090409,13.80907622280717,16.167082355633376,15.421785362958907,14.401231162483493,16.448692634587488,0.7733333333333333,0.7,0.84,0.22666666666666666,0.16666666666666666,0.29333333333333333
duot5,DuoT5,loo_pairwise,explanation,preservation,3,150,3.0,8.861220286289852,7.529378372773529,10.231087219004829,9.94363412896792,8.762006904572248,11.13595610396564,0.38666666666666666,0.31333333333333335,0.4666666666666667,0.6133333333333333,0.5331666666666667,0.6866666666666666
duot5,DuoT5,loo_pairwise,explanation,preservation,5,150,5.0,5.693701121409734,4.3428442183732985,7.020076299190521,7.5631180826822915,6.5812025667826335,8.659573119123777,0.24,0.17983333333333335,0.30666666666666664,0.76,0.6866666666666666,0.8266666666666667
duot5,DuoT5,loo_pairwise,explanation,preservation,10,150,10.0,1.1714523780345916,0.0913042850693067,2.3653911626090607,4.880369826555252,4.038029653504491,5.68630847120285,0.11333333333333333,0.06666666666666667,0.16666666666666666,0.8866666666666667,0.8333333333333334,0.9333333333333333
duot5,DuoT5,loo_pairwise,explanation,preservation,20,150,20.0,-1.1846753036975861,-2.1330850959420204,-0.17303314773738385,4.038224548896154,3.2721848813196024,4.84781143047909,0.09333333333333334,0.05333333333333334,0.14,0.9066666666666666,0.8533333333333334,0.9533333333333334
duot5,DuoT5,loo_pairwise,random,preservation,1,150,1.0,19.910695270816486,19.168354909239213,20.574196210752923,19.927517709294957,19.18707239824931,20.674220142446956,0.9446666666666665,0.91,0.9726666666666666,0.05533333333333334,0.02866666666666667,0.08933333333333333
duot5,DuoT5,loo_pairwise,random,preservation,3,150,3.0,18.815762851397196,18.03443351553182,19.512644132836662,18.898377662499744,18.154843811967968,19.633729071755212,0.9006666666666668,0.86865,0.9286666666666668,0.09933333333333333,0.07331666666666667,0.12935
duot5,DuoT5,loo_pairwise,random,preservation,5,150,5.0,17.150807245254516,16.34869915566444,17.915923214331272,17.415244621396063,16.642846180116134,18.187634772409,0.8193333333333331,0.7893333333333334,0.8453666666666667,0.18066666666666664,0.15333333333333332,0.20866666666666667
duot5,DuoT5,loo_pairwise,random,preservation,10,150,10.0,13.088134178638459,12.183131335097551,14.066402666716776,13.930471402565638,13.190475078445672,14.72873680003186,0.6126666666666667,0.578,0.64735,0.38733333333333336,0.354,0.42266666666666663
duot5,DuoT5,loo_pairwise,random,preservation,20,150,20.0,6.455405351320903,5.356935401986043,7.589103029675283,8.78828944035371,8.007522456929086,9.537442750869195,0.34266666666666673,0.30533333333333335,0.38666666666666666,0.6573333333333333,0.6113333333333334,0.7
duot5,DuoT5,loo_pointwise,explanation,preservation,1,150,1.0,1.890158584912618,0.6619748280843099,3.223510237534841,6.470127879778544,5.684178951978684,7.236755006074905,0.32666666666666666,0.24666666666666667,0.4066666666666667,0.6733333333333333,0.5933333333333334,0.7466666666666667
duot5,DuoT5,loo_pointwise,explanation,preservation,3,150,3.0,1.138498547077179,-0.28299380820989606,2.6671627191305163,7.609792694250743,6.728111417313417,8.440859927217165,0.34,0.2733333333333333,0.41333333333333333,0.66,0.58,0.7268333333333332
duot5,DuoT5,loo_pointwise,explanation,preservation,5,150,5.0,0.4942370351155599,-0.8785652062892914,1.9716552337805415,7.225962441762288,6.441865569035212,8.02984197338422,0.29333333333333333,0.22666666666666666,0.3668333333333332,0.7066666666666667,0.6333333333333333,0.7733333333333333
duot5,DuoT5,loo_pointwise,explanation,preservation,10,150,10.0,-1.932076810201009,-3.1581673030058544,-0.7292509115934372,6.542255004247029,5.753477722326914,7.319112439592679,0.24666666666666667,0.18,0.32,0.7533333333333333,0.6866666666666666,0.82
